#nucleus-nld-mass-strength-omp 127Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 9.54975E-09 0.00000E+00 2.24130E-16
2.00000E-03 4.07136E-13 9.54933E-09 2.04649E-20 1.79314E-15
5.00000E-03 1.01784E-12 9.54806E-09 7.99410E-19 2.80226E-14
1.00000E-02 2.03569E-12 9.54596E-09 1.27906E-17 2.24244E-13
2.00000E-02 4.07140E-12 9.54172E-09 2.04651E-16 1.79495E-12
5.00000E-02 1.01791E-11 9.52888E-09 7.99463E-15 2.80932E-11
1.00000E-01 2.03622E-11 9.50703E-09 1.27939E-13 2.25370E-10
2.00000E-01 4.07567E-11 9.46177E-09 2.04866E-12 1.81287E-09
3.00000E-01 6.12160E-11 9.41470E-09 1.03850E-11 6.15164E-09
4.00000E-01 8.17728E-11 9.36613E-09 3.28828E-11 1.46599E-08
5.00000E-01 1.02460E-10 9.31635E-09 8.04719E-11 2.87849E-08
6.00000E-01 1.23311E-10 9.26567E-09 1.67354E-10 5.00029E-08
7.00000E-01 1.44361E-10 9.21439E-09 3.11116E-10 7.98202E-08
8.00000E-01 1.65643E-10 9.16281E-09 5.32871E-10 1.19773E-07
9.00000E-01 1.87193E-10 9.11124E-09 8.57429E-10 1.71431E-07
1.00000E+00 2.09049E-10 9.05998E-09 1.31350E-09 2.36395E-07
1.10000E+00 2.31248E-10 9.00934E-09 1.93391E-09 3.16302E-07
1.20000E+00 2.53829E-10 8.95963E-09 2.75591E-09 4.12826E-07
1.30000E+00 2.76833E-10 8.91116E-09 3.82144E-09 5.27683E-07
1.40000E+00 3.00301E-10 8.86425E-09 5.17750E-09 6.62628E-07
1.50000E+00 3.24277E-10 8.81922E-09 6.87654E-09 8.19467E-07
1.60000E+00 3.48807E-10 8.77640E-09 8.97689E-09 1.00005E-06
1.70000E+00 3.73940E-10 8.73611E-09 1.15433E-08 1.20629E-06
1.80000E+00 3.99725E-10 8.69870E-09 1.46473E-08 1.44015E-06
1.90000E+00 4.26215E-10 8.66450E-09 1.83683E-08 1.70366E-06
2.00000E+00 4.53467E-10 8.63387E-09 2.27937E-08 1.99892E-06
2.20000E+00 5.10490E-10 8.58475E-09 3.41535E-08 2.69348E-06
2.40000E+00 5.71309E-10 8.55431E-09 4.96232E-08 3.54226E-06
2.60000E+00 6.36496E-10 8.54567E-09 7.02904E-08 4.56524E-06
2.80000E+00 7.06704E-10 8.56215E-09 9.74746E-08 5.78425E-06
3.00000E+00 7.82669E-10 8.60726E-09 1.32777E-07 7.22328E-06
3.20000E+00 8.65234E-10 8.68477E-09 1.78141E-07 8.90885E-06
3.40000E+00 9.55359E-10 8.79871E-09 2.35930E-07 1.08705E-05
3.60000E+00 1.05415E-09 8.95343E-09 3.09021E-07 1.31412E-05
3.80000E+00 1.16285E-09 9.15361E-09 4.00919E-07 1.57580E-05
4.00000E+00 1.28293E-09 9.40434E-09 5.15898E-07 1.87627E-05
4.50000E+00 1.64432E-09 1.02899E-08 9.41463E-07 2.82988E-05
5.00000E+00 2.12031E-09 1.16290E-08 1.66529E-06 4.15115E-05
5.50000E+00 2.75276E-09 1.35501E-08 2.87764E-06 5.97122E-05
6.00000E+00 3.58477E-09 1.62185E-08 4.86514E-06 8.47535E-05
6.50000E+00 4.62788E-09 1.98498E-08 7.98549E-06 1.19276E-04
7.00000E+00 5.77958E-09 2.47291E-08 1.24558E-05 1.67070E-04
7.50000E+00 6.71979E-09 3.17746E-08 1.78123E-05 2.33618E-04
8.00000E+00 6.99604E-09 4.20372E-08 2.25062E-05 3.26907E-04
8.50000E+00 6.44351E-09 5.54806E-08 2.48633E-05 4.58671E-04
9.00000E+00 5.38751E-09 7.32140E-08 2.46772E-05 6.46288E-04
9.50000E+00 4.26629E-09 9.68151E-08 2.29827E-05 9.15729E-04
1.00000E+01 3.31276E-09 1.28560E-07 2.08147E-05 1.30611E-03
1.05000E+01 2.57440E-09 1.71772E-07 1.87251E-05 1.87666E-03
1.10000E+01 2.02175E-09 2.31337E-07 1.69077E-05 2.71706E-03
1.15000E+01 1.61040E-09 3.14407E-07 1.53889E-05 3.96139E-03
1.20000E+01 1.30197E-09 4.31152E-07 1.41359E-05 5.80285E-03
1.25000E+01 1.06773E-09 5.94802E-07 1.31030E-05 8.49544E-03
1.30000E+01 8.87202E-10 8.18502E-07 1.22471E-05 1.23030E-02
1.35000E+01 7.46008E-10 1.10324E-06 1.15325E-05 1.73202E-02
1.40000E+01 6.34007E-10 1.41188E-06 1.09309E-05 2.31291E-02
1.45000E+01 5.43989E-10 1.65009E-06 1.04201E-05 2.85639E-02
1.50000E+01 4.70761E-10 1.71591E-06 9.98284E-06 3.21861E-02
1.55000E+01 4.10532E-10 1.59994E-06 9.60554E-06 3.33365E-02
1.60000E+01 3.60494E-10 1.38523E-06 9.27765E-06 3.24813E-02
1.65000E+01 3.18541E-10 1.15656E-06 8.99077E-06 3.05514E-02
1.70000E+01 2.83072E-10 9.55935E-07 8.73824E-06 2.82971E-02
1.75000E+01 2.52856E-10 7.93347E-07 8.51466E-06 2.61285E-02
1.80000E+01 2.26934E-10 6.65321E-07 8.31567E-06 2.42111E-02
1.85000E+01 2.04554E-10 5.65020E-07 8.13771E-06 2.25817E-02
1.90000E+01 1.85116E-10 4.85976E-07 7.97784E-06 2.12227E-02
1.95000E+01 1.68143E-10 4.23017E-07 7.83364E-06 2.00982E-02
2.00000E+01 1.53247E-10 3.72240E-07 7.70306E-06 1.91702E-02
2.10000E+01 1.28482E-10 2.96468E-07 7.47619E-06 1.77714E-02
