#data imported from #https://www.nndc.bnl.gov/astro/calcmacs.jsp
modn	nucleus	model	cntry	year	reac	kT	MACS	ngamma
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	0.86173	3.879E3	9.523E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	0.86173	3.879E3	9.523E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	0.86173	3.893E3	9.557E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	0.86173	3.301E3	8.105E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	0.86173	3.893E3	9.557E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	0.86173	2.838E-5	6.966E-1
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	4.30866	1.781E3	9.777E7
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	4.30866	1.781E3	9.777E7
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	4.30866	1.529E3	8.392E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	4.30866	1.171E3	6.427E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	4.30866	1.529E3	8.392E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	4.30866	8.418E1	4.621E6
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	8.61733	1.321E3	1.026E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	8.61733	1.321E3	1.026E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	8.61733	1.050E3	8.148E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	8.61733	7.837E2	6.084E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	8.61733	1.050E3	8.148E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	8.61733	3.618E2	2.809E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	12.9260	1.110E3	1.055E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	12.9260	1.110E3	1.055E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	12.9260	8.410E2	7.997E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	12.9260	6.195E2	5.890E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	12.9260	8.410E2	7.997E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	12.9260	5.129E2	4.877E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	17.2347	9.733E2	1.069E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	17.2347	9.733E2	1.069E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	17.2347	7.167E2	7.869E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	17.2347	5.229E2	5.741E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	17.2347	7.167E2	7.869E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	17.2347	5.710E2	6.268E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	25.8520	7.962E2	1.071E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	25.8520	7.962E2	1.071E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	25.8520	5.690E2	7.651E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	25.8520	4.109E2	5.525E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	25.8520	5.690E2	7.651E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	25.8520	5.801E2	7.800E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	34.4693	6.830E2	1.060E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	34.4693	6.830E2	1.060E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	34.4693	4.809E2	7.466E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	34.4693	3.471E2	5.389E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	34.4693	4.809E2	7.466E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	34.4693	5.489E2	8.522E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	43.0867	6.033E2	1.047E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	43.0867	6.033E2	1.047E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	43.0867	4.207E2	7.302E7
4	51-Sb-126	JENDL-4.0,	Japan	2010	(n,γ)	43.0867	3.056E2	5.305E7
5	51-SB-126	ENDF/B-VI.8,	USA	2001	(n,γ)	43.0867	4.207E2	7.302E7
6	51-Sb-126	ROSFOND,	RUSSIA	2008	(n,γ)	43.0867	5.122E2	8.891E7
1	51-Sb-126	ENDF/B-VIII.0,	USA	2006	(n,γ)	51.7040	5.436E2	1.034E8
2	51-Sb-126	ENDF/B-VII.1,	USA	2011	(n,γ)	51.7040	5.436E2	1.034E8
3	51-Sb-126	JEFF-3.1,	Europe	2005	(n,γ)	51.7040	3.761E2	7.152E7
