RSF 117sn(3he,3he)117sn
No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
0    0.015200  0.000000E-00   0.000000E-00
1    0.135200  0.000000E-00   0.000000E-00
2    0.255200  0.000000E-00   0.000000E-00
3    0.375200  0.000000E-00   0.000000E-00
4    0.495200  0.000000E-00   0.000000E-00
5    0.615200  0.000000E-00   0.000000E-00
6    0.735200  0.000000E-00   0.000000E-00
7    0.855200  0.000000E-00   0.000000E-00
8    0.975200  0.000000E-00   0.000000E-00
9    1.095200  0.000000E-00   0.000000E-00
10   1.215200  0.000000E-00   0.000000E-00
11   1.335200  0.000000E-00   0.000000E-00
12   1.455200  1.298334E-09   2.035760E-10
13   1.575200  3.867056E-09   1.183856E-10
14   1.695200  4.839662E-09   1.209190E-10
15   1.815200  5.219342E-09   1.144777E-10
16   1.935200  4.500663E-09   1.088117E-10
17   2.055200  4.904474E-09   1.123862E-10
18   2.175200  5.214330E-09   9.936879E-11
19   2.295200  5.442648E-09   1.085847E-10
20   2.415200  5.410820E-09   1.157535E-10
21   2.535200  5.891490E-09   1.187864E-10
22   2.655200  6.389435E-09   1.342536E-10
23   2.775200  6.679286E-09   1.146450E-10
24   2.895200  6.921604E-09   1.418756E-10
25   3.015200  6.945319E-09   1.571426E-10
26   3.135200  6.995917E-09   1.382680E-10
27   3.255200  7.293833E-09   1.639532E-10
28   3.375200  7.270890E-09   1.498379E-10
29   3.495200  7.771550E-09   1.869851E-10
30   3.615200  7.558151E-09   1.993310E-10
31   3.735200  8.312834E-09   2.113923E-10
32   3.855200  8.655845E-09   2.079455E-10
33   3.975200  9.424632E-09   2.637478E-10
34   4.095200  9.268772E-09   3.113626E-10
35   4.215200  1.080748E-08   3.277512E-10
36   4.335200  1.140126E-08   3.859688E-10
37   4.455200  1.173743E-08   3.644245E-10
38   4.575200  1.351305E-08   4.437540E-10
39   4.695200  1.443632E-08   4.484178E-10
40   4.815200  1.705510E-08   6.193019E-10
41   4.935200  1.911291E-08   7.050205E-10
42   5.055200  2.045912E-08   8.517085E-10
43   5.175200  2.312535E-08   9.380311E-10
44   5.295200  2.586150E-08   9.929704E-10
45   5.415200  3.074710E-08   1.284688E-09
46   5.535200  3.434625E-08   1.394626E-09
47   5.655200  3.756285E-08   1.648297E-09
48   5.775200  4.171644E-08   2.505145E-09
49   5.895200  4.869949E-08   2.385477E-09
50   6.015200  5.590719E-08   2.666411E-09
51   6.135200  6.014742E-08   3.573294E-09
52   6.255200  6.645150E-08   3.436639E-09
53   6.375200  7.650809E-08   4.394263E-09
54   6.495200  8.117467E-08   5.380782E-09
55   6.615200  8.159559E-08   6.936002E-09
56   6.735200  8.110619E-08   6.939802E-09
57   6.855200  1.046149E-07   6.982467E-09
58   6.975200  1.035396E-07   8.900661E-09
59   7.095200  1.105434E-07   1.102099E-08
60   7.215200  1.091184E-07   1.252960E-08
61   7.335200  1.293568E-07   1.401159E-08
62   7.455200  1.102961E-07   1.369854E-08
63   7.575200  1.425787E-07   2.142197E-08
64   7.695200  1.305962E-07   1.942264E-08
