RSF 119sn(3he,4he)118sn
NB! These are the original numbers of f and df.
In the article, they were multiplied with 1.8. See article.  
No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
   1      0.280      0.000E-00       0.000E-00
   2      0.640      0.000E-00      0.000E-00
   3      1.000      0.000E-00      0.000E-00
   4      1.360      0.000E-00      0.000E-00
   5      1.720      0.272E-08      0.385E-09
   6      2.080      0.213E-08      0.508E-09
   7      2.440      0.241E-08      0.561E-09
   8      2.800      0.331E-08      0.587E-09
   9      3.160      0.288E-08      0.537E-09
  10      3.520      0.294E-08      0.644E-09
  11      3.880      0.274E-08      0.821E-09
  12      4.240      0.576E-08      0.142E-08
  13      4.600      0.493E-08      0.147E-08
  14      4.960      0.656E-08      0.237E-08
  15      5.320      0.151E-07      0.446E-08
  16      5.680      0.187E-07      0.665E-08
  17      6.040      0.276E-07      0.851E-08
  18      6.400      0.126E-07      0.126E-07
  19      6.760      0.165E-07      0.158E-07
  20      7.120      0.672E-07      0.268E-07
  21      7.480      0.112E-06      0.470E-07
  22      7.840      0.947E-07      0.736E-07
