RSF 119sn(3he,3he)119sn
   No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
   1      0.140      0.000E-00      0.000E-00
   2      0.380      0.000E-00      0.000E-00
   3      0.620      0.000E-00      0.000E-00
   4      0.860      0.000E-00      0.000E-00
   5      1.100      0.000E-00      0.000E-00
   6      1.340      0.000E-00      0.000E-00
   7      1.580      0.238E-08      0.438E-09
   8      1.820      0.381E-08      0.462E-09
   9      2.060      0.386E-08      0.394E-09
  10      2.300      0.374E-08      0.362E-09
  11      2.540      0.468E-08      0.442E-09
  12      2.780      0.472E-08      0.527E-09
  13      3.020      0.469E-08      0.514E-09
  14      3.260      0.546E-08      0.579E-09
  15      3.500      0.673E-08      0.757E-09
  16      3.740      0.564E-08      0.734E-09
  17      3.980      0.744E-08      0.107E-08
  18      4.220      0.812E-08      0.132E-08
  19      4.460      0.897E-08      0.162E-08
  20      4.700      0.923E-08      0.198E-08
  21      4.940      0.145E-07      0.284E-08
  22      5.180      0.148E-07      0.296E-08
  23      5.420      0.256E-07      0.550E-08
  24      5.660      0.464E-07      0.995E-08
  25      5.900      0.451E-07      0.132E-07
  26      6.140      0.525E-07      0.172E-07
  27      6.380      0.119E-06      0.221E-07
  28      6.620      0.609E-07      0.330E-07
  29      6.860      0.720E-07      0.620E-07
