#E[MeV]   GSF[MeV^{-3}]   UpperSyst.error[MeV^{-3}]   LowerSyst.error[MeV^{-3}]   StatError[MeV^{-3}]
1.280   7.4706E-09   1.5654E-09   1.5729E-09   2.0500E-10
1.408   1.4764E-08   3.0888E-09   3.1028E-09   3.1325E-10
1.536   1.4092E-08   2.9535E-09   2.9655E-09   2.8512E-10
1.664   1.1887E-08   2.4992E-09   2.5077E-09   2.5990E-10
1.792   1.0178E-08   2.1453E-09   2.1511E-09   2.2156E-10
1.920   1.1692E-08   2.4701E-09   2.4746E-09   2.4305E-10
2.048   1.1582E-08   2.4596E-09   2.4620E-09   2.9221E-10
2.176   1.5224E-08   3.2369E-09   3.2367E-09   3.2898E-10
2.304   1.3416E-08   2.8644E-09   2.8609E-09   3.1381E-10
2.432   1.2913E-08   2.7651E-09   2.7582E-09   2.8633E-10
2.560   1.1665E-08   2.5056E-09   2.4957E-09   2.4262E-10
2.688   1.2776E-08   2.7582E-09   2.7435E-09   3.0130E-10
2.816   1.2886E-08   2.7923E-09   2.7727E-09   2.9361E-10
2.944   1.5168E-08   3.3033E-09   3.2747E-09   3.7081E-10
3.072   1.4169E-08   3.0990E-09   3.0666E-09   3.4382E-10
3.200   1.0639E-08   2.3412E-09   2.3124E-09   2.9012E-10
3.328   1.2457E-08   2.7497E-09   2.7102E-09   3.0178E-10
3.456   1.2642E-08   2.8039E-09   2.7578E-09   3.0291E-10
3.584   1.2085E-08   2.6957E-09   2.6454E-09   3.0561E-10
3.712   1.4604E-08   3.2736E-09   3.2050E-09   3.6271E-10
3.840   1.5505E-08   3.4964E-09   3.4149E-09   4.0463E-10
3.968   1.6344E-08   3.7094E-09   3.6139E-09   4.5641E-10
4.096   1.4245E-08   3.2523E-09   3.1604E-09   4.0687E-10
4.224   1.4120E-08   3.2423E-09   3.1424E-09   4.0444E-10
4.352   1.3650E-08   3.1583E-09   3.0528E-09   4.3327E-10
4.480   2.8810E-08   6.7066E-09   6.4642E-09   9.1775E-10
4.608   1.9976E-08   4.6816E-09   4.4992E-09   6.5659E-10
4.736   1.7386E-08   4.1041E-09   3.9328E-09   6.0041E-10
4.864   1.8877E-08   4.4915E-09   4.2913E-09   7.0028E-10
4.992   1.6944E-08   4.0634E-09   3.8706E-09   6.6536E-10
5.120   1.9033E-08   4.6045E-09   4.3733E-09   8.0863E-10
5.248   2.1244E-08   5.1712E-09   4.8951E-09   8.8953E-10
5.376   2.9719E-08   7.2761E-09   6.8638E-09   1.2038E-09
5.504   4.0032E-08   9.8678E-09   9.2770E-09   1.6208E-09
5.632   4.8756E-08   1.2083E-08   1.1318E-08   1.8569E-09
5.760   4.9863E-08   1.2486E-08   1.1660E-08   2.1540E-09
5.888   6.6989E-08   1.6863E-08   1.5686E-08   2.7099E-09
6.016   7.0267E-08   1.7850E-08   1.6549E-08   3.0464E-09
6.144   9.1968E-08   2.3542E-08   2.1748E-08   4.0505E-09
6.272   9.1545E-08   2.3583E-08   2.1701E-08   3.8984E-09
6.400   1.1816E-07   3.0766E-08   2.8221E-08   5.6076E-09
6.528   1.0539E-07   2.7642E-08   2.5260E-08   4.9942E-09
6.656   1.2803E-07   3.3862E-08   3.0829E-08   6.2271E-09
6.784   1.4209E-07   3.7871E-08   3.4346E-08   6.9428E-09
6.912   1.2314E-07   3.3072E-08   2.9876E-08   6.0163E-09
7.040   1.5900E-07   4.3152E-08   3.8854E-08   8.4121E-09
7.168   1.5172E-07   4.1460E-08   3.7176E-08   7.8543E-09
7.296   1.5703E-07   4.3284E-08   3.8664E-08   8.3413E-09
7.424   1.5985E-07   4.4451E-08   3.9557E-08   8.7292E-09
7.552   1.7270E-07   4.8732E-08   4.3269E-08   1.1003E-08
7.680   1.8574E-07   5.2552E-08   4.6407E-08   1.0584E-08
7.808   1.8322E-07   5.2590E-08   4.6339E-08   1.2036E-08
7.936   2.3091E-07   6.6731E-08   5.8539E-08   1.4860E-08
8.064   2.3711E-07   6.9153E-08   6.0437E-08   1.5666E-08
8.192   2.8960E-07   8.5416E-08   7.4421E-08   2.0372E-08
8.320   2.7755E-07   8.2784E-08   7.1910E-08   2.0659E-08
8.448   2.4836E-07   7.5551E-08   6.5614E-08   2.1810E-08
8.576   2.5085E-07   7.8138E-08   6.7940E-08   2.6031E-08
8.704   2.1588E-07   6.7641E-08   5.8545E-08   2.2069E-08
8.832   2.1464E-07   6.9572E-08   6.0506E-08   2.7029E-08
8.960   2.2281E-07   7.4119E-08   6.4601E-08   3.1464E-08
9.088   1.7465E-07   6.3376E-08   5.6339E-08   3.4671E-08
