RSF (3he,4he)121sn
   No    Eg(MeV)    f(MeV**-3)    df(MeV**-3)
  12      1.350      0.297E-08      0.584E-09
  13      1.470      0.237E-08      0.477E-09
  14      1.590      0.325E-08      0.431E-09
  15      1.710      0.341E-08      0.416E-09
  16      1.830      0.307E-08      0.463E-09
  17      1.950      0.311E-08      0.363E-09
  18      2.070      0.339E-08      0.418E-09
  19      2.190      0.273E-08      0.366E-09
  20      2.310      0.369E-08      0.358E-09
  21      2.430      0.370E-08      0.420E-09
  22      2.550      0.375E-08      0.415E-09
  23      2.670      0.346E-08      0.379E-09
  24      2.790      0.373E-08      0.405E-09
  25      2.910      0.381E-08      0.452E-09
  26      3.030      0.399E-08      0.395E-09
  27      3.150      0.402E-08      0.450E-09
  28      3.270      0.369E-08      0.426E-09
  29      3.390      0.379E-08      0.468E-09
  30      3.510      0.414E-08      0.464E-09
  31      3.630      0.430E-08      0.543E-09
  32      3.750      0.487E-08      0.587E-09
  33      3.870      0.458E-08      0.611E-09
  34      3.990      0.469E-08      0.648E-09
  35      4.110      0.610E-08      0.822E-09
  36      4.230      0.556E-08      0.920E-09
  37      4.350      0.634E-08      0.910E-09
  38      4.470      0.664E-08      0.104E-08
  39      4.590      0.765E-08      0.123E-08
  40      4.710      0.854E-08      0.127E-08
  41      4.830      0.801E-08      0.140E-08
  42      4.950      0.946E-08      0.202E-08
  43      5.070      0.972E-08      0.202E-08
  44      5.190      0.159E-07      0.287E-08
  45      5.310      0.220E-07      0.337E-08
  46      5.430      0.268E-07      0.471E-08
  47      5.550      0.289E-07      0.531E-08
  48      5.670      0.361E-07      0.600E-08
  49      5.790      0.322E-07      0.677E-08
  50      5.910      0.308E-07      0.958E-08
  51      6.030      0.666E-07      0.103E-07
  52      6.150      0.493E-07      0.286E-07
