#E[MeV]   GSF[MeV^{-3}]   UpperSyst.error[MeV^{-3}]   LowerSyst.error[MeV^{-3}]   StatError[MeV^{-3}] 
1.60   1.2353E-08   3.0082E-09   3.6509E-09   2.4361E-10
1.76   8.7397E-09   2.1849E-09   2.6672E-09   2.1742E-10
1.92   8.3696E-09   2.1518E-09   2.6384E-09   2.4993E-10
2.08   8.0992E-09   2.1442E-09   2.6369E-09   2.7799E-10
2.24   9.4201E-09   2.5569E-09   3.1554E-09   2.4530E-10
2.40   7.4996E-09   2.1019E-09   2.5939E-09   2.4574E-10
2.56   8.2816E-09   2.3926E-09   2.9511E-09   2.7426E-10
2.72   8.5473E-09   2.5446E-09   3.1340E-09   2.6241E-10
2.88   8.9868E-09   2.7657E-09   3.3942E-09   3.2043E-10
3.04   8.8486E-09   2.8117E-09   3.4364E-09   3.2285E-10
3.20   6.2458E-09   2.0549E-09   2.4965E-09   2.7523E-10
3.36   9.2816E-09   3.1454E-09   3.8015E-09   3.4595E-10
3.52   7.5707E-09   2.6603E-09   3.1893E-09   3.7006E-10
3.68   9.6921E-09   3.5085E-09   4.1774E-09   4.1255E-10
3.84   1.1598E-08   4.3358E-09   5.1196E-09   5.0159E-10
4.00   1.1448E-08   4.4227E-09   5.1746E-09   5.3065E-10
4.16   9.4267E-09   3.7603E-09   4.3578E-09   4.4717E-10
4.32   1.1588E-08   4.7731E-09   5.4760E-09   5.7595E-10
4.48   1.6456E-08   6.9934E-09   7.9402E-09   8.2106E-10
4.64   1.3097E-08   5.7523E-09   6.4582E-09   7.4596E-10
4.80   1.4864E-08   6.7243E-09   7.4672E-09   7.9001E-10
4.96   1.3903E-08   6.4947E-09   7.1276E-09   8.3509E-10
5.12   2.0490E-08   9.8569E-09   1.0692E-08   1.1856E-09
5.28   2.0393E-08   1.0111E-08   1.0836E-08   1.2249E-09
5.44   2.7526E-08   1.4067E-08   1.4891E-08   1.7623E-09
5.60   5.2322E-08   2.7501E-08   2.8753E-08   3.1500E-09
5.76   6.3273E-08   3.4267E-08   3.5374E-08   4.1779E-09
5.92   6.5763E-08   3.6649E-08   3.7352E-08   4.4379E-09
6.08   8.1149E-08   4.6538E-08   4.6818E-08   5.7334E-09
6.24   1.0574E-07   6.2323E-08   6.1885E-08   7.3818E-09
6.40   1.2802E-07   7.7613E-08   7.6058E-08   9.4647E-09
6.56   1.6675E-07   1.0388E-07   1.0046E-07   1.2559E-08
6.72   1.3506E-07   8.6572E-08   8.2618E-08   1.1474E-08
6.88   1.3739E-07   9.0338E-08   8.5054E-08   1.1141E-08
7.04   1.4441E-07   9.7470E-08   9.0536E-08   1.1804E-08
7.20   1.2869E-07   8.9151E-08   8.1693E-08   1.0791E-08
7.36   1.7112E-07   1.2174E-07   1.1006E-07   1.5494E-08
7.52   1.6306E-07   1.1937E-07   1.0655E-07   1.7811E-08
7.68   2.1473E-07   1.6110E-07   1.4183E-07   2.3329E-08
7.84   1.9460E-07   1.4938E-07   1.2966E-07   1.9525E-08
8.00   1.9350E-07   1.5278E-07   1.3097E-07   2.3645E-08
8.16   1.8508E-07   1.4983E-07   1.2675E-07   2.3793E-08
8.32   2.9479E-07   2.4467E-07   2.0427E-07   4.0129E-08
8.48   2.2492E-07   1.9218E-07   1.5869E-07   3.7007E-08
